playerID,player_name,first_year,last_year,oak_seasons,total_core,max_core,avg_core,total_bwar,total_bwar_positive,max_bwar,total_metric_score,max_metric_score,total_pa,total_ip,peak_year,primary_role,primary_pos,peak_era_id,peak_bwar,peak_metric_score,overall_rank,community_id,layout_x,layout_y,community_label
ontivst02,Steve Ontiveros,1985,1995,6,2.652098823512382,0.6097508518223305,0.442016470585397,7.47,8.37,3.3,1.9509719017141545,0.9348441926345609,0.0,597.6666666666666,1994,Pitcher,P,C03,3.3,0.9348441926345609,69,1,0.45249886522601734,0.1365339296751269,Rickey Henderson / Mark McGwire / Dwayne Murphy
montafr01,Frankie Montas,2017,2022,6,2.8833907402241783,0.7938461538461541,0.4805651233706964,7.5200000000000005,8.3,3.7,1.4247440649990089,0.6228956228956228,11.0,537.6666666666666,2021,Pitcher,P,C07,3.7,0.6228956228956228,70,4,0.9693036697935521,0.688301657006564,Matt Chapman / Marcus Semien / Matt Olson
gonzagi01,Gio Gonzalez,2008,2011,4,2.20752235074514,0.80197190846028,0.551880587686285,6.7299999999999995,8.28,4.4399999999999995,1.6969147005444647,1.0,9.0,535.3333333333333,2011,Pitcher,P,C05,4.4399999999999995,1.0,71,2,0.7665468382410748,0.2938594629013351,Eric Chavez / Tim Hudson / Barry Zito
cespeyo01,Yoenis Cespedes,2012,2014,3,2.297069559244659,0.853351940068879,0.765689853081553,8.26,8.26,3.97,1.476489492347215,0.8668122270742359,1546.0,0.0,2012,Hitter,OF,C06,3.97,0.8668122270742359,72,5,0.7780048920755851,0.8733120233602384,Josh Reddick / Josh Donaldson / Coco Crisp
keougma02,Matt Keough,1977,1983,7,4.026648122021306,0.8031215321281547,0.5752354460030437,6.03,8.21,3.27,1.7612525139320527,1.0,0.0,1060.3333333333333,1978,Pitcher,P,C02,2.9800000000000004,1.0,73,1,0.19619171332903346,0.06722804721322098,Rickey Henderson / Mark McGwire / Dwayne Murphy
colonba01,Bartolo Colon,2012,2013,2,1.3890258202013444,0.7588480046948359,0.6945129101006722,8.21,8.21,5.56,1.3465584211923085,0.7679558011049723,10.0,342.6666666666667,2013,Pitcher,P,C06,5.56,0.7679558011049723,74,5,0.7964461275352306,0.9079790363659801,Josh Reddick / Josh Donaldson / Coco Crisp
murphse01,Sean Murphy,2019,2022,4,2.4008179982900617,1.0,0.6002044995725154,8.14,8.14,3.65,2.0609049751564026,1.0,1259.0,0.0,2022,Hitter,C,C07,3.65,1.0,75,4,0.9752292672150271,0.6989256104539208,Matt Chapman / Marcus Semien / Matt Olson
weisswa01,Walt Weiss,1987,1992,6,3.0378680711037087,0.830660583597701,0.5063113451839515,7.3999999999999995,8.139999999999999,4.16,1.027809387339757,0.41851106639839036,1831.0,0.0,1990,Hitter,SS,C03,4.16,0.41851106639839036,76,1,0.3926988097964251,0.09224880819203073,Rickey Henderson / Mark McGwire / Dwayne Murphy
berroge01,Geronimo Berroa,1994,1997,4,3.3556970124305967,1.0,0.8389242531076492,8.120000000000001,8.120000000000001,2.52,1.8856146375997835,0.7138810198300284,1949.0,0.0,1994,Hitter,OF,C03,2.52,0.7138810198300284,77,1,0.44001152834165114,0.06385025298836415,Rickey Henderson / Mark McGwire / Dwayne Murphy
daviskh01,Khris Davis,2016,2021,6,4.181045544065397,1.0,0.6968409240108996,7.35,8.03,2.81,1.911403331792492,0.8235294117647058,2601.0,0.0,2017,Hitter,OF,C07,2.8,0.8235294117647058,78,4,0.8689973130499705,0.6874903377261922,Matt Chapman / Marcus Semien / Matt Olson
